id,codigo,nombre,departamento_id
479,15377,Labranzagrande,13
480,19364,"Jambaló",16
481,19110,"Buenos Aires",16
482,5055,Argelia,8
483,13838,"Turbaná",12
484,50573,"Puerto López",22
485,68077,Barbosa,17
486,5789,"Támesis",8
487,63190,Circasia,21
488,5895,Zaragoza,8
489,99624,"Santa Rosalía",32
490,8685,"Santo Tomás",11
491,73616,Rioblanco,24
492,63401,"La Tebaida",21
493,27580,"Río Iró",6
494,25402,"La Vega",15
495,68092,Betulia,17
496,66682,"Santa Rosa De Cabal",9
497,47268,"El Retén",20
498,23300,Cotorra,5
499,25823,"Topaipí",15
500,85139,"Maní",26
501,73671,"Saldaña",24
502,25407,Lenguazaque,15
503,25183,"Chocontá",15
504,25053,"Arbeláez",15
505,63130,"Calarcá",21
506,8520,"Palmar De Varela",11
507,63212,"Córdoba",21
508,68669,"San Andrés",17
509,86571,"Puerto Guzmán",25
510,27787,"Tadó",6
511,76863,Versalles,19
512,27810,"Unión Panamericana",6
513,25224,"Cucunubá",15
514,41349,Hobo,1
515,66318,"Guática",9
516,52435,Mallama,3
517,18029,Albania,23
518,66088,"Belén De Umbría",9
519,5604,Remedios,8
520,8372,"Juan De Acosta",11
521,85410,Tauramena,26
522,19397,"La Vega",16
523,47745,Sitionuevo,20
524,25743,Silvania,15
525,25035,Anapoima,15
526,76377,"La Cumbre",19
527,86760,Santiago,25
528,66572,"Pueblo Rico",9
529,73411,"Líbano",24
530,8078,Baranoa,11
531,25777,"Supatá",15
532,86320,Orito,25
533,5148,"El Carmen De Viboral",8
534,5134,Campamento,8
535,25288,"Fúquene",15
536,41872,Villavieja,1
537,73622,Roncesvalles,24
538,54347,"Herrán",10
539,68081,Barrancabermeja,17
540,54385,"La Esperanza",10
541,25148,"Caparrapí",15
542,18205,Curillo,23
543,47058,"Ariguaní",20
544,85430,Trinidad,26
545,68500,Oiba,17
546,25518,Paime,15
547,17867,Victoria,4
548,76364,"Jamundí",19
549,91798,"Tarapacá",28
550,68575,"Puerto Wilches",17
551,19100,"Bolívar",16
552,54344,"Hacarí",10
553,25535,Pasca,15
554,86865,"Valle Del Guamuez",25
555,5665,"San Pedro De Urabá",8
556,86219,"Colón",25
557,25506,Venecia,15
558,73236,Dolores,24
559,17653,Salamina,4
560,73555,Planadas,24
561,19693,"San Sebastián",16
562,76243,"El Águila",19
563,76250,"El Dovio",19
564,15087,"Belén",13
565,47053,Aracataca,20
566,25793,Tausa,15
567,25328,"Guayabal De Síquima",15
568,47703,"San Zenón",20
569,41357,"Íquira",1
570,19318,"Guapí",16
571,91669,"Puerto Santander",28
572,73624,Rovira,24
573,52473,Mosquera,3
574,52224,"Cuaspúd",3
575,15814,Toca,13
576,15097,Boavita,13
577,52317,Guachucal,3
578,70678,"San Benito Abad",18
579,52573,Puerres,3
580,15518,Pajarito,13
581,13760,Soplaviento,12
582,15317,Guacamayas,13
583,15232,"Chíquiza",13
584,25649,"San Bernardo",15
585,68318,Guaca,17
586,5212,Copacabana,8
587,23678,"San Carlos",5
588,52381,"La Florida",3
589,47258,"El Piñón",20
590,47318,Guamal,20
591,52203,"Colón",3
592,23182,"Chinú",5
593,15599,"Ramiriquí",13
594,15183,Chita,13
